cycle,actual_acc,actual_valid
1385,0,0
1386,0,0
1387,-2368,1
1388,-2368,0
1389,-5530,1
1390,-5530,0
1391,-5530,0
1392,-8180,1
1393,-8180,0
1394,-8180,0
1395,-8180,0
1396,-8180,0
1397,-8180,0
1398,-8180,0
1399,-8180,0
1400,-6508,1
1401,0,0
1402,1620,1
1403,10156,1
1404,10156,0
1405,10156,0
1406,10156,0
1407,0,0
1408,0,0
1409,4429,1
1410,4429,0
1411,-3459,1
1412,-3459,0
1413,-3459,0
1414,-13989,1
1415,-13989,0
1416,-13989,0
1417,-13989,0
1418,-17049,1
1419,-17049,0
1420,-17049,0
1421,-15349,1
1422,-15349,0
1423,-15349,0
1424,-15349,0
1425,-6679,1
1426,-6679,0
1427,-10279,1
1428,-10279,0
1429,-10279,0
1430,-19197,1
1431,-16597,1
1432,-16597,0
1433,-16597,0
1434,-16597,0
1435,-16597,0
1436,-16597,0
1437,-16597,0
1438,-16597,0
1439,-16597,0
1440,-16597,0
1441,-16597,0
1442,-16597,0
1443,-16597,0
1444,0,0
1445,0,0
1446,1760,1
1447,1760,0
1448,-2112,1
1449,-5444,1
1450,-9272,1
1451,-9272,0
1452,-7787,1
1453,-7787,0
1454,-7787,0
1455,-7787,0
1456,-7787,0
1457,0,0
1458,0,0
1459,0,0
1460,0,0
1461,0,0
1462,-200,1
1463,-1768,1
1464,-1768,0
1465,-1768,0
1466,-9398,1
1467,-10574,1
1468,-13196,1
1469,-13196,0
1470,-13196,0
1471,-13196,0
1472,-13112,1
1473,-13112,0
1474,-5021,1
1475,-6717,1
1476,-13092,1
1477,-13092,0
1478,-11972,1
1479,-11972,0
1480,-11972,0
1481,-11972,0
1482,-11972,0
1483,-11972,0
1484,-19748,1
1485,-19748,0
1486,-19292,1
1487,-19292,0
1488,-19292,0
1489,-19292,0
1490,-19292,0
1491,-19292,0
1492,-19292,0
1493,-19292,0
1494,-17001,1
1495,-17001,0
1496,-17001,0
1497,-17001,0
1498,-17801,1
1499,-17801,0
1500,-16981,1
1501,-16981,0
1502,-17311,1
1503,-17311,0
1504,-17311,0
1505,-17752,1
1506,-17752,0
1507,-18928,1
1508,-18928,0
1509,-18928,0
1510,-18928,0
1511,-18928,0
1512,-18928,0
1513,-18928,0
1514,-18928,0
1515,-18928,0
1516,-18928,0
1517,-18928,0
1518,-18928,0
1519,-18928,0
1520,-18928,0
1521,-18928,0
1522,-18928,0
1523,-18928,0
1524,-18928,0
1525,-18928,0
1526,0,0
1527,0,0
1528,0,0
1529,0,0
1530,0,0
1531,943,1
1532,9068,1
1533,9068,0
1534,9068,0
1535,9068,0
1536,9068,0
1537,9068,0
1538,10673,1
1539,10673,0
1540,10673,0
1541,10673,0
1542,10673,0
1543,10673,0
1544,0,0
1545,2688,1
1546,1408,1
1547,1408,0
1548,1408,0
1549,1408,0
1550,1408,0
1551,1408,0
1552,1408,0
1553,1408,0
1554,1108,1
1555,1192,1
1556,1192,0
1557,1192,0
1558,1192,0
1559,1192,0
1560,-3533,1
1561,-3533,0
1562,-3533,0
1563,-3533,0
1564,2898,1
1565,2898,0
1566,2898,0
1567,-3738,1
1568,10012,1
1569,892,1
1570,892,0
1571,892,0
1572,892,0
1573,892,0
1574,892,0
1575,892,0
1576,0,0
1577,1547,1
1578,1547,0
1579,1547,0
1580,1887,1
1581,1887,0
1582,1887,0
1583,1887,0
1584,-3273,1
1585,-3273,0
1586,-3273,0
1587,-3273,0
1588,-3273,0
1589,-3273,0
1590,-3597,1
1591,-3597,0
1592,-7984,1
1593,-12408,1
1594,-12408,0
1595,-12408,0
1596,-12408,0
1597,-12408,0
1598,-12408,0
1599,-12408,0
1600,-12408,0
1601,-12408,0
1602,-9438,1
1603,2126,1
1604,2126,0
1605,2126,0
1606,2126,0
1607,2126,0
1608,1510,1
1609,3778,1
1610,3778,0
1611,3778,0
1612,0,0
1613,5073,1
1614,5073,0
1615,5073,0
1616,9217,1
1617,9217,0
1618,9217,0
1619,6272,1
1620,0,0
1621,0,0
1622,0,0
1623,6060,1
1624,6060,0
1625,11352,1
1626,11352,0
1627,11352,0
1628,-627,1
1629,-3063,1
1630,-3063,0
1631,-234,1
1632,-234,0
1633,-234,0
1634,-234,0
1635,-78,1
1636,-2685,1
1637,-2685,0
1638,-2685,0
1639,-2685,0
1640,-2685,0
1641,-2685,0
1642,-2685,0
1643,-2685,0
1644,-29,1
1645,-29,0
1646,-29,0
1647,-29,0
1648,-29,0
1649,-29,0
1650,-29,0
1651,-29,0
1652,-29,0
1653,0,0
1654,0,0
1655,-3596,1
1656,-9811,1
1657,-9811,0
1658,-9811,0
1659,-1803,1
1660,-1803,0
1661,-1803,0
1662,-1803,0
1663,2509,1
1664,2509,0
1665,2509,0
1666,2509,0
1667,2509,0
1668,2509,0
1669,2509,0
1670,2509,0
1671,2509,0
1672,7029,1
1673,10305,1
1674,10305,0
1675,10305,0
1676,10305,0
1677,10305,0
1678,10305,0
1679,-2320,1
1680,1280,1
1681,0,0
1682,0,0
1683,0,0
1684,0,0
1685,0,0
1686,0,0
1687,0,0
1688,2835,1
1689,2835,0
1690,3153,1
1691,3153,0
1692,3153,0
1693,3153,0
1694,3153,0
1695,3153,0
1696,-3516,1
1697,-9680,1
1698,-9680,0
1699,-9680,0
1700,-9680,0
1701,-9680,0
1702,-9680,0
1703,-9680,0
1704,-13443,1
1705,-18435,1
1706,-18435,0
1707,-18435,0
1708,-18435,0
1709,-26971,1
1710,-26211,1
1711,-25455,1
1712,-25455,0
1713,-23971,1
1714,-23971,0
1715,-23971,0
1716,-23971,0
1717,-23971,0
1718,-23971,0
1719,-23971,0
1720,-23971,0
1721,-24202,1
1722,-24202,0
1723,-22282,1
1724,-22282,0
1725,-22282,0
1726,-22282,0
1727,-22282,0
1728,0,0
1729,0,0
